1972851.0 679381.0 
1905188.0 759167.0 
1890593.0 841005.0 
1905188.0 759167.0 
1963477.0 683316.0 
1995886.0 673315.0 
1905188.0 759167.0 
1948302.0 694107.0 
1905188.0 759167.0 
1941085.0 704665.0 
1933545.0 706454.0 
1912749.0 754442.0 
1914866.0 735333.0 
1945591.0 699210.0 
1907482.0 758480.0 
2000641.0 664853.0 
1894336.0 826527.0 
1916030.0 708558.0 
1895100.0 760051.0 
1950859.0 684594.0 
1941085.0 704665.0 
1944906.0 699254.0 
1941085.0 704665.0 
1894583.0 798637.0 
1915446.0 715928.0 
1892902.0 841005.0 
1892902.0 841005.0 
1964089.0 683316.0 
1964089.0 683316.0 
1964089.0 683316.0 
1964089.0 683316.0 
1997373.0 674862.0 
1997373.0 674862.0 
1997373.0 674862.0 
1997373.0 674862.0 
1906673.0 759167.0 
1906673.0 759167.0 
1913918.0 757394.0 
1914936.0 742503.0 
2003007.0 673315.0 
1938423.0 710203.0 
1938423.0 710203.0 
1938423.0 710203.0 
1917930.0 713430.0 
1900035.0 762116.0 
1960020.0 688195.0 
1956490.0 689540.0 
1955374.0 690009.0 
1951078.0 694107.0 
1960422.0 686264.0 
1942671.0 705234.0 
1899680.0 798637.0 
1895864.0 824462.0 
1896856.0 823474.0 
1917248.0 716954.0 
1917248.0 716954.0 
1916331.0 729113.0 
1893127.0 841005.0 
1893127.0 841005.0 
1964462.0 683316.0 
1999013.0 674862.0 
1906703.0 759167.0 
1915164.0 746585.0 
2005626.0 674781.0 
1918590.0 715928.0 
1937870.0 715555.0 
1937870.0 715555.0 
1940713.0 714912.0 
1940713.0 714912.0 
1940713.0 714912.0 
1940133.0 715539.0 
1937870.0 715555.0 
1918590.0 715928.0 
1901153.0 762116.0 
1956579.0 689540.0 
1953437.0 699210.0 
1954912.0 698020.0 
1953437.0 699210.0 
1952359.0 700712.0 
1960850.0 688195.0 
1943441.0 705234.0 
1943255.0 709337.0 
1900796.0 798637.0 
1900478.0 821914.0 
1896215.0 824462.0 
1918538.0 726773.0 
1917887.0 728786.0 
1916380.0 739641.0 
1893710.0 841005.0 
2000981.0 675563.0 
1901779.0 762116.0 
1899032.0 836549.0 
1965068.0 683316.0 
1960932.0 697367.0 
1946269.0 705885.0 
1913036.0 759646.0 
1939141.0 715555.0 
1924808.0 715928.0 
1916789.0 751171.0 
1962015.0 688195.0 
