1370783.0 249763.0 
1338854.0 253551.0 
1345277.0 252701.0 
1338854.0 253551.0 
1348526.0 251326.0 
1363621.0 249985.0 
1388375.0 249883.0 
1345938.0 252701.0 
1342254.0 253551.0 
1339626.0 262457.0 
1353537.0 252502.0 
1359247.0 251326.0 
1366455.0 250184.0 
1349344.0 252701.0 
1342545.0 254767.0 
1345540.0 253551.0 
1341620.0 632007.0 
1353932.0 252502.0 
1359361.0 252048.0 
1359657.0 251922.0 
1369246.0 251034.0 
1369246.0 251034.0 
1376332.0 250416.0 
1350619.0 252701.0 
1349881.0 253138.0 
1343018.0 254767.0 
1348067.0 253843.0 
1354907.0 252502.0 
1360715.0 252048.0 
1368627.0 251922.0 
1374566.0 251034.0 
1371989.0 251488.0 
1399780.0 250540.0 
1350813.0 252701.0 
1343912.0 254767.0 
1343912.0 254767.0 
1343912.0 254767.0 
1348214.0 253843.0 
1355249.0 252502.0 
1363539.0 252048.0 
1369131.0 251944.0 
1396842.0 251034.0 
1376393.0 251656.0 
1402025.0 250540.0 
1350900.0 252701.0 
1350900.0 252701.0 
1350900.0 252701.0 
1344033.0 254767.0 
1343985.0 292109.0 
1356290.0 252502.0 
1356241.0 252647.0 
1356290.0 252502.0 
1364213.0 252048.0 
1363676.0 252280.0 
1363676.0 252280.0 
1373045.0 251944.0 
1376827.0 251656.0 
1417278.0 250540.0 
1402243.0 251653.0 
1351201.0 253783.0 
1351469.0 252701.0 
1344156.0 254767.0 
1357512.0 252502.0 
1367316.0 252048.0 
1367316.0 252048.0 
1367316.0 252048.0 
1366028.0 252280.0 
1373705.0 251944.0 
1377326.0 251656.0 
1377326.0 251656.0 
1377326.0 251656.0 
1417930.0 250540.0 
1402956.0 251653.0 
1351857.0 252701.0 
1351606.0 254346.0 
1349983.0 254767.0 
1347272.0 297198.0 
1347272.0 297198.0 
1357776.0 252502.0 
1357776.0 252502.0 
1367565.0 252048.0 
1374522.0 251944.0 
1378086.0 251663.0 
1378165.0 251656.0 
1403154.0 251653.0 
1352641.0 253155.0 
1352959.0 252701.0 
1350396.0 254767.0 
1348995.0 632834.0 
1349429.0 335552.0 
1359585.0 252669.0 
1359909.0 252502.0 
1359585.0 252669.0 
1367591.0 252048.0 
1367591.0 252048.0 
1375680.0 251944.0 
1378341.0 251656.0 
1403398.0 251653.0 
1349794.0 629992.0 
1404843.0 251653.0 
